resort	photos	species
Rock Creek	0	resort-photos
Silver Hills	0	resort-photos
Sharktooth	0	resort-photos
Stagecoach	0	resort-photos
Hesperus Ski Area	1	resort-photos
Wolf Creek Ski Area	1	resort-photos
Ski Dallas	2	resort-photos
Ski Granby Ranch	2	resort-photos
Lake Catamount	2	resort-photos
Ski San Isabel	3	resort-photos
Steamboat Ski Resort	3	resort-photos
Cuchara Mountain Resort	3	resort-photos
Cranor Hill Ski Area	3	resort-photos
Stoner	5	resort-photos
Howelsen Hill Ski Area	5	resort-photos
Monarch Ski & Snowboard Area	5	resort-photos
Conquistador Ski Resort	5	resort-photos
Chapman Hill Ski Area	6	resort-photos
Sunlight Mountain Resort	7	resort-photos
Berthoud Pass	10	resort-photos
Ski Idlewild	10	resort-photos
Powderhorn Resort	11	resort-photos
Winter Park Resort	13	resort-photos
Echo Mountain 	13	resort-photos
Buttermilk Mountain	14	resort-photos
Breckenridge Ski Resort	14	resort-photos
Ski Cooper	14	resort-photos
Aspen Mountain	15	resort-photos
Silverton Mountain	15	resort-photos
Arapahoe Basin	16	resort-photos
Keystone Resort	16	resort-photos
Snowmass	16	resort-photos
Purgatory (Durango Mountain Resort)	17	resort-photos
Aspen Highlands	17	resort-photos
St. Mary's Glacier	17	resort-photos
Little Annie	18	resort-photos
Beaver Creek Resort	19	resort-photos
Kendall Mountain	19	resort-photos
Pikes Peak	19	resort-photos
Eldora Mountain Resort	19	resort-photos
Copper Mountain Resort	19	resort-photos
Ski Broadmoor	19	resort-photos
Irwin Lodge Snowcat	20	resort-photos
Fun Valley	20	resort-photos
Crested Butte Mountain Resort	21	resort-photos
Loveland	21	resort-photos
Geneva Basin	21	resort-photos
Telluride	22	resort-photos
Lake City Ski Hill	22	resort-photos
Frisco Adventure Park	22	resort-photos
Lee's Ski Hill	22	resort-photos
Vail	24	resort-photos
Ski Estes Park (Hidden Valley)	25	resort-photos
Arapahoe East	25	resort-photos
Meadow Mountain	25	resort-photos
